,2012,50%,2013,50%,2014,50%,2015,50%,2016,50%,2017,50%,2018,50%,2019,50%
Enero,182000,91000,193000,96500,210000,105000,225000,112500,250000,125000,264000,132000,276000,138000,288000,144000
Febrero,182000,91000,193000,96500,210000,105000,225000,112500,250000,125000,264000,132000,276000,138000,288000,144000
Marzo,182000,91000,193000,96500,210000,105000,225000,112500,250000,125000,264000,132000,276000,138000,301000,150500
Abril,182000,91000,193000,96500,210000,105000,225000,112500,250000,125000,264000,132000,276000,138000,301000,150500
Mayo,182000,91000,193000,96500,210000,105000,225000,112500,250000,125000,264000,132000,276000,138000,301000,150500
Junio,182000,91000,193000,96500,210000,105000,225000,112500,250000,125000,264000,132000,276000,138000,301000,150500
Julio,193000,96500,193000,96500,225000,112500,241000,120500,257500,128750,270000,135000,276000,138000,301000,150500
Agosto,193000,96500,210000,105000,225000,112500,241000,120500,257500,128750,270000,135000,276000,138000,301000,150500
Septiembre,193000,96500,210000,105000,225000,112500,241000,120500,257500,128750,270000,135000,288000,144000,301000,150500
Octubre,193000,96500,210000,105000,225000,112500,241000,120500,257500,128750,270000,135000,288000,144000,301000,150500
Noviembre,193000,96500,210000,105000,225000,112500,241000,120500,257500,128750,270000,135000,288000,144000,301000,150500
Diciembre,193000,96500,210000,105000,225000,112500,241000,120500,257500,128750,270000,135000,288000,144000,301000,150500